2017-03-22 14:54:10.084 [localhost-startStop-1] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-03-22 14:54:10.265 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/doPhoneLink],methods=[POST]}" onto public com.maizhong.common.result.JsonResult com.maizhong.portal.controller.ActionController.doPhoneLink(java.lang.String)
2017-03-22 14:54:10.266 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index]}" onto public java.lang.String com.maizhong.portal.controller.IndexController.index(org.springframework.ui.Model)
2017-03-22 14:54:10.266 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/help]}" onto public java.lang.String com.maizhong.portal.controller.IndexController.help(org.springframework.ui.Model)
2017-03-22 14:54:10.266 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/feedback]}" onto public java.lang.String com.maizhong.portal.controller.IndexController.feedback(org.springframework.ui.Model)
2017-03-22 14:54:10.266 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/about]}" onto public java.lang.String com.maizhong.portal.controller.IndexController.about(org.springframework.ui.Model)
2017-03-22 14:54:10.266 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/joinus]}" onto public java.lang.String com.maizhong.portal.controller.IndexController.joinus(org.springframework.ui.Model)
2017-03-22 14:54:10.267 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/feedback/post]}" onto public java.lang.String com.maizhong.portal.controller.IndexController.feedbackForm(com.maizhong.pojo.TbFeedback,org.springframework.validation.BindingResult,org.springframework.ui.Model)
2017-03-22 14:54:10.267 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/sale]}" onto public java.lang.String com.maizhong.portal.controller.IndexController.sale(org.springframework.ui.Model)
2017-03-22 14:54:10.267 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/news.html]}" onto public java.lang.String com.maizhong.portal.controller.IndexController.news(java.lang.Long)
2017-03-22 14:54:10.267 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/search/info]}" onto public java.lang.String com.maizhong.portal.controller.SearchController.searchIndex(com.maizhong.common.dto.PageSearchParam,org.springframework.ui.Model)
