2017-03-20 09:33:51.453 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization started
2017-03-20 09:33:51.553 [localhost-startStop-1] INFO  o.s.web.context.support.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Mon Mar 20 09:33:51 CST 2017]; root of context hierarchy
2017-03-20 09:33:51.598 [localhost-startStop-1] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-service.xml]
2017-03-20 09:33:52.046 [localhost-startStop-1] INFO  o.s.c.support.PropertySourcesPlaceholderConfigurer - Loading properties file from URL [file:/C:/Users/Xushd/IdeaProjects/MaiZhong/Portal/target/classes/resource/resource.properties]
2017-03-20 09:33:52.053 [localhost-startStop-1] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-03-20 09:33:52.105 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 648 ms
2017-03-20 09:33:52.148 [localhost-startStop-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'maizhong-portal': initialization started
2017-03-20 09:33:52.151 [localhost-startStop-1] INFO  o.s.web.context.support.XmlWebApplicationContext - Refreshing WebApplicationContext for namespace 'maizhong-portal-servlet': startup date [Mon Mar 20 09:33:52 CST 2017]; parent: Root WebApplicationContext
2017-03-20 09:33:52.153 [localhost-startStop-1] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring_mvc.xml]
2017-03-20 09:33:52.346 [localhost-startStop-1] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-03-20 09:33:52.518 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index]}" onto public java.lang.String com.maizhong.portal.controller.IndexController.index(org.springframework.ui.Model)
2017-03-20 09:33:52.519 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/search/]}" onto public java.lang.String com.maizhong.portal.controller.SearchController.searchIndex(com.maizhong.common.dto.PageSearchParam,org.springframework.ui.Model)
2017-03-20 09:33:52.520 [localhost-startStop-1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/test/to/{url}]}" onto public java.lang.String com.maizhong.portal.controller.TestController.test(java.lang.String)
2017-03-20 09:33:52.570 [localhost-startStop-1] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.1.1.Final
